index,filename,time,temperature_K,pressure_GPa,press_load_ton,measurement_mode,live_time_sec,dead_time_pct,2theta_deg,heating_conditions,remark
0,A2308001,2022-07-31 10:26:03,310.61,1.0,10.0,Real,60.0,5.72,6.0,V(V)=5.01 C(A)=0.39 P(W)=1.97 R(OHM)=12.784,
1,A2308002,2022-07-31 10:28:57,310.33,1.0,10.0,Real,60.0,10.53,6.0,V(V)=5.02 C(A)=0.38 P(W)=1.91 R(OHM)=13.153,
2,A2308003,2022-07-31 16:00:19,300.15,0.0,0.0,Real,71.32,4.96,6.0,V(V)=0.00 C(A)=0.00 P(W)=0.00 R(OHM)=0.000,
3,seq_0001,2022-07-31 10:41:12,311.48,1.0,10.0,Separate,54.22,10.53,6.0,V(V)=5.14 C(A)=0.41 P(W)=2.13 R(OHM)=12.396,
4,seq_0002,2022-07-31 10:42:13,395.0,1.0,10.0,Separate,53.52,10.53,6.0,V(V)=13.92 C(A)=1.28 P(W)=17.82 R(OHM)=10.870,
5,seq_0003,2022-07-31 10:43:13,473.26,1.0,10.0,Separate,54.12,10.53,6.0,V(V)=21.15 C(A)=1.54 P(W)=32.53 R(OHM)=13.745,
6,seq_0004,2022-07-31 10:44:13,473.1,1.0,10.0,Separate,54.59,10.53,6.0,V(V)=20.87 C(A)=1.56 P(W)=32.50 R(OHM)=13.404,
7,seq_0005,2022-07-31 10:45:13,473.14,1.0,10.0,Separate,55.06,10.53,6.0,V(V)=20.80 C(A)=1.56 P(W)=32.51 R(OHM)=13.306,
8,seq_0006,2022-07-31 10:46:13,473.13,1.0,10.0,Separate,55.25,10.53,6.0,V(V)=20.72 C(A)=1.57 P(W)=32.51 R(OHM)=13.207,
9,seq_0007,2022-07-31 10:47:13,473.21,1.0,10.0,Separate,55.77,10.53,6.0,V(V)=20.69 C(A)=1.57 P(W)=32.52 R(OHM)=13.163,
10,seq_0008,2022-07-31 10:48:13,473.17,1.0,10.0,Separate,55.72,10.53,6.0,V(V)=20.65 C(A)=1.57 P(W)=32.51 R(OHM)=13.121,
11,seq_0009,2022-07-31 10:49:13,473.14,1.01,10.14,Separate,56.45,10.53,6.0,V(V)=20.62 C(A)=1.58 P(W)=32.51 R(OHM)=13.083,
12,seq_0010,2022-07-31 10:50:13,473.13,1.08,10.79,Separate,56.05,10.53,6.0,V(V)=20.59 C(A)=1.58 P(W)=32.51 R(OHM)=13.043,
13,seq_0011,2022-07-31 10:51:13,473.21,1.14,11.44,Separate,56.68,10.53,6.0,V(V)=20.59 C(A)=1.58 P(W)=32.52 R(OHM)=13.037,
14,seq_0012,2022-07-31 10:52:13,473.21,1.21,12.09,Separate,56.61,10.53,6.0,V(V)=20.58 C(A)=1.58 P(W)=32.52 R(OHM)=13.021,
15,seq_0013,2022-07-31 10:53:14,473.18,1.28,12.75,Separate,56.31,10.53,6.0,V(V)=20.41 C(A)=1.59 P(W)=32.51 R(OHM)=12.815,
16,seq_0014,2022-07-31 10:54:13,473.06,1.34,13.39,Separate,56.17,10.53,6.0,V(V)=20.29 C(A)=1.60 P(W)=32.49 R(OHM)=12.667,
17,seq_0015,2022-07-31 10:55:13,473.09,1.4,14.04,Separate,56.28,10.53,6.0,V(V)=20.27 C(A)=1.60 P(W)=32.50 R(OHM)=12.645,
18,seq_0016,2022-07-31 10:56:13,473.1,1.47,14.69,Separate,56.28,10.53,6.0,V(V)=20.23 C(A)=1.61 P(W)=32.50 R(OHM)=12.587,
19,seq_0017,2022-07-31 10:57:13,473.19,1.53,15.34,Separate,56.39,10.53,6.0,V(V)=20.20 C(A)=1.61 P(W)=32.52 R(OHM)=12.554,
20,seq_0018,2022-07-31 10:58:14,473.09,1.6,16.01,Separate,56.24,10.53,6.0,V(V)=20.18 C(A)=1.61 P(W)=32.50 R(OHM)=12.536,
21,seq_0019,2022-07-31 10:59:13,473.04,1.66,16.64,Separate,56.32,10.53,6.0,V(V)=20.16 C(A)=1.61 P(W)=32.49 R(OHM)=12.506,
22,seq_0020,2022-07-31 11:00:14,472.99,1.73,17.31,Separate,55.9,10.53,6.0,V(V)=20.12 C(A)=1.61 P(W)=32.48 R(OHM)=12.464,
23,seq_0021,2022-07-31 11:01:13,473.01,1.79,17.95,Separate,55.87,10.53,6.0,V(V)=20.11 C(A)=1.62 P(W)=32.48 R(OHM)=12.446,
24,seq_0022,2022-07-31 11:02:13,473.02,1.86,18.6,Separate,56.23,10.53,6.0,V(V)=20.10 C(A)=1.62 P(W)=32.49 R(OHM)=12.434,
25,seq_0023,2022-07-31 11:03:14,473.09,1.93,19.26,Separate,55.88,10.53,6.0,V(V)=20.08 C(A)=1.62 P(W)=32.50 R(OHM)=12.409,
26,seq_0024,2022-07-31 11:04:13,473.25,1.99,19.9,Separate,55.88,10.53,6.0,V(V)=20.08 C(A)=1.62 P(W)=32.53 R(OHM)=12.399,
27,seq_0025,2022-07-31 11:05:13,473.18,2.05,20.55,Separate,55.87,10.53,6.0,V(V)=20.09 C(A)=1.62 P(W)=32.51 R(OHM)=12.409,
28,seq_0026,2022-07-31 11:06:13,473.28,2.12,21.2,Separate,55.9,10.53,6.0,V(V)=20.09 C(A)=1.62 P(W)=32.53 R(OHM)=12.405,
29,seq_0027,2022-07-31 11:07:13,473.21,2.18,21.85,Separate,55.53,10.53,6.0,V(V)=20.02 C(A)=1.62 P(W)=32.52 R(OHM)=12.319,
30,seq_0028,2022-07-31 11:08:13,473.22,2.25,22.5,Separate,55.59,10.53,6.0,V(V)=20.00 C(A)=1.63 P(W)=32.52 R(OHM)=12.302,
31,seq_0029,2022-07-31 11:09:13,473.19,2.31,23.15,Separate,55.18,10.53,6.0,V(V)=19.99 C(A)=1.63 P(W)=32.52 R(OHM)=12.283,
32,seq_0030,2022-07-31 11:10:13,473.18,2.38,23.8,Separate,55.15,10.53,6.0,V(V)=19.97 C(A)=1.63 P(W)=32.51 R(OHM)=12.262,
33,seq_0031,2022-07-31 11:11:13,473.35,2.44,24.45,Separate,54.71,10.53,6.0,V(V)=19.96 C(A)=1.63 P(W)=32.55 R(OHM)=12.242,
34,seq_0032,2022-07-31 11:12:13,473.21,2.51,25.1,Separate,54.27,10.53,6.0,V(V)=19.94 C(A)=1.63 P(W)=32.52 R(OHM)=12.227,
35,seq_0033,2022-07-31 11:13:13,473.28,2.58,25.75,Separate,54.06,10.53,6.0,V(V)=19.92 C(A)=1.63 P(W)=32.53 R(OHM)=12.196,
36,seq_0034,2022-07-31 11:14:13,473.31,2.64,26.4,Separate,53.87,10.53,6.0,V(V)=19.91 C(A)=1.63 P(W)=32.54 R(OHM)=12.187,
37,seq_0035,2022-07-31 11:15:13,473.26,2.71,27.05,Separate,53.43,10.53,6.0,V(V)=19.89 C(A)=1.64 P(W)=32.53 R(OHM)=12.163,
38,seq_0036,2022-07-31 11:16:13,473.23,2.77,27.7,Separate,53.31,10.53,6.0,V(V)=19.86 C(A)=1.64 P(W)=32.52 R(OHM)=12.131,
39,seq_0037,2022-07-31 11:17:13,473.28,2.84,28.35,Separate,53.46,10.53,6.0,V(V)=19.85 C(A)=1.64 P(W)=32.53 R(OHM)=12.108,
40,seq_0038,2022-07-31 11:18:13,473.31,2.9,29.0,Separate,53.31,10.53,6.0,V(V)=19.86 C(A)=1.64 P(W)=32.54 R(OHM)=12.118,
41,seq_0039,2022-07-31 11:19:13,473.19,2.97,29.65,Separate,53.63,10.53,6.0,V(V)=19.84 C(A)=1.64 P(W)=32.52 R(OHM)=12.111,
42,seq_0040,2022-07-31 11:20:14,473.31,3.03,30.31,Separate,54.01,10.53,6.0,V(V)=19.83 C(A)=1.64 P(W)=32.54 R(OHM)=12.086,
43,seq_0041,2022-07-31 11:21:13,473.34,3.1,30.95,Separate,54.8,10.53,6.0,V(V)=19.78 C(A)=1.65 P(W)=32.55 R(OHM)=12.018,
44,seq_0042,2022-07-31 11:22:13,473.31,3.16,31.6,Separate,55.51,10.53,6.0,V(V)=19.75 C(A)=1.65 P(W)=32.54 R(OHM)=11.992,
