ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,1
41,1.7685,4
42,1.8115,11
43,1.8546,5
44,1.8977,12
45,1.9407,9
46,1.9838,14
47,2.0268,13
48,2.0699,11
49,2.1129,26
50,2.156,10
51,2.1991,18
52,2.2421,20
53,2.2852,20
54,2.3282,17
55,2.3713,19
56,2.4143,14
57,2.4574,16
58,2.5004,11
59,2.5435,15
60,2.5866,18
61,2.6296,20
62,2.6727,7
63,2.7157,11
64,2.7588,14
65,2.8018,13
66,2.8449,13
67,2.8879,10
68,2.931,14
69,2.9741,25
70,3.0171,13
71,3.0602,18
72,3.1032,21
73,3.1463,10
74,3.1893,12
75,3.2324,14
76,3.2755,15
77,3.3185,15
78,3.3616,12
79,3.4046,11
80,3.4477,22
81,3.4907,19
82,3.5338,18
83,3.5768,10
84,3.6199,17
85,3.663,22
86,3.706,19
87,3.7491,17
88,3.7921,19
89,3.8352,19
90,3.8782,20
91,3.9213,14
92,3.9643,19
93,4.0074,16
94,4.0505,11
95,4.0935,11
96,4.1366,18
97,4.1796,19
98,4.2227,14
99,4.2657,18
100,4.3088,24
101,4.3519,7
102,4.3949,11
103,4.438,17
104,4.481,14
105,4.5241,21
106,4.5671,15
107,4.6102,20
108,4.6532,13
109,4.6963,13
110,4.7394,22
111,4.7824,20
112,4.8255,11
113,4.8685,20
114,4.9116,14
115,4.9546,16
116,4.9977,10
117,5.0407,12
118,5.0838,20
119,5.1269,19
120,5.1699,22
121,5.213,13
122,5.256,19
123,5.2991,15
124,5.3421,19
125,5.3852,14
126,5.4283,21
127,5.4713,13
128,5.5144,6
129,5.5574,18
130,5.6005,13
131,5.6435,19
132,5.6866,13
133,5.7296,9
134,5.7727,14
135,5.8158,21
136,5.8588,9
137,5.9019,17
138,5.9449,15
139,5.988,13
140,6.031,16
141,6.0741,13
142,6.1171,20
143,6.1602,17
144,6.2033,17
145,6.2463,13
146,6.2894,11
147,6.3324,20
148,6.3755,18
149,6.4185,15
150,6.4616,13
151,6.5047,12
152,6.5477,20
153,6.5908,11
154,6.6338,17
155,6.6769,21
156,6.7199,10
157,6.763,19
158,6.806,15
159,6.8491,17
160,6.8922,17
161,6.9352,20
162,6.9783,9
163,7.0213,16
164,7.0644,12
165,7.1074,7
166,7.1505,13
167,7.1935,11
168,7.2366,15
169,7.2797,17
170,7.3227,15
171,7.3658,19
172,7.4088,19
173,7.4519,17
174,7.4949,9
175,7.538,14
176,7.5811,10
177,7.6241,11
178,7.6672,8
179,7.7102,9
180,7.7533,13
181,7.7963,13
182,7.8394,12
183,7.8824,13
184,7.9255,16
185,7.9686,17
186,8.0116,13
187,8.0547,16
188,8.0977,12
189,8.1408,12
