ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,2
39,1.6824,5
40,1.7254,4
41,1.7685,5
42,1.8115,7
43,1.8546,13
44,1.8977,16
45,1.9407,16
46,1.9838,15
47,2.0268,16
48,2.0699,19
49,2.1129,17
50,2.156,12
51,2.1991,14
52,2.2421,15
53,2.2852,13
54,2.3282,18
55,2.3713,11
56,2.4143,15
57,2.4574,14
58,2.5004,12
59,2.5435,21
60,2.5866,17
61,2.6296,13
62,2.6727,15
63,2.7157,14
64,2.7588,11
65,2.8018,11
66,2.8449,13
67,2.8879,12
68,2.931,20
69,2.9741,11
70,3.0171,9
71,3.0602,11
72,3.1032,16
73,3.1463,19
74,3.1893,18
75,3.2324,17
76,3.2755,14
77,3.3185,11
78,3.3616,15
79,3.4046,21
80,3.4477,6
81,3.4907,16
82,3.5338,17
83,3.5768,12
84,3.6199,9
85,3.663,16
86,3.706,12
87,3.7491,22
88,3.7921,15
89,3.8352,17
90,3.8782,15
91,3.9213,8
92,3.9643,12
93,4.0074,15
94,4.0505,20
95,4.0935,12
96,4.1366,17
97,4.1796,14
98,4.2227,14
99,4.2657,17
100,4.3088,17
101,4.3519,14
102,4.3949,19
103,4.438,8
104,4.481,14
105,4.5241,17
106,4.5671,16
107,4.6102,18
108,4.6532,12
109,4.6963,17
110,4.7394,16
111,4.7824,14
112,4.8255,15
113,4.8685,13
114,4.9116,12
115,4.9546,9
116,4.9977,14
117,5.0407,17
118,5.0838,19
119,5.1269,9
120,5.1699,13
121,5.213,12
122,5.256,14
123,5.2991,12
124,5.3421,18
125,5.3852,14
126,5.4283,18
127,5.4713,17
128,5.5144,21
129,5.5574,15
130,5.6005,10
131,5.6435,19
132,5.6866,14
133,5.7296,13
134,5.7727,20
135,5.8158,20
136,5.8588,12
137,5.9019,10
138,5.9449,17
139,5.988,12
140,6.031,18
141,6.0741,11
142,6.1171,9
143,6.1602,14
144,6.2033,13
145,6.2463,15
146,6.2894,15
147,6.3324,18
148,6.3755,19
149,6.4185,14
150,6.4616,16
151,6.5047,16
152,6.5477,15
153,6.5908,15
154,6.6338,15
155,6.6769,15
156,6.7199,5
157,6.763,10
158,6.806,12
159,6.8491,12
160,6.8922,17
161,6.9352,13
162,6.9783,20
163,7.0213,15
164,7.0644,22
165,7.1074,16
166,7.1505,11
167,7.1935,15
168,7.2366,18
169,7.2797,16
170,7.3227,11
171,7.3658,14
172,7.4088,11
173,7.4519,5
174,7.4949,15
175,7.538,20
176,7.5811,18
177,7.6241,21
178,7.6672,15
179,7.7102,14
180,7.7533,21
181,7.7963,18
182,7.8394,14
183,7.8824,11
184,7.9255,15
185,7.9686,13
186,8.0116,12
187,8.0547,11
188,8.0977,17
189,8.1408,11
