index,filename,time,temperature_K,pressure_GPa,cluster,PC1,PC2
3,seq_0001,2022-07-31 10:41:12,311.48,1.0,2,-22.464247,-74.67413
4,seq_0002,2022-07-31 10:42:13,395.0,1.0,2,-17.337152,-57.004402
5,seq_0003,2022-07-31 10:43:13,473.26,1.0,2,-14.190176,-23.656317
6,seq_0004,2022-07-31 10:44:13,473.1,1.0,2,-18.165403,-17.259417
7,seq_0005,2022-07-31 10:45:13,473.14,1.0,2,-16.723312,-18.784235
8,seq_0006,2022-07-31 10:46:13,473.13,1.0,2,-14.8741045,-15.093255
9,seq_0007,2022-07-31 10:47:13,473.21,1.0,2,-18.957958,-11.787612
10,seq_0008,2022-07-31 10:48:13,473.17,1.0,2,-20.213264,-11.094208
11,seq_0009,2022-07-31 10:49:13,473.14,1.01,2,-18.733774,-11.787306
12,seq_0010,2022-07-31 10:50:13,473.13,1.08,2,-19.437044,-9.077481
13,seq_0011,2022-07-31 10:51:13,473.21,1.14,2,-20.06913,-6.38365
14,seq_0012,2022-07-31 10:52:13,473.21,1.21,2,-18.06634,-8.096112
15,seq_0013,2022-07-31 10:53:14,473.18,1.28,2,-17.249178,-5.5121517
16,seq_0014,2022-07-31 10:54:13,473.06,1.34,2,-17.98421,-7.792626
17,seq_0015,2022-07-31 10:55:13,473.09,1.4,2,-20.6021,-8.154552
18,seq_0016,2022-07-31 10:56:13,473.1,1.47,2,-18.446993,-7.7881856
19,seq_0017,2022-07-31 10:57:13,473.19,1.53,2,-18.190496,-8.704642
20,seq_0018,2022-07-31 10:58:14,473.09,1.6,2,-17.582355,-6.878422
21,seq_0019,2022-07-31 10:59:13,473.04,1.66,2,-18.369139,-8.933469
22,seq_0020,2022-07-31 11:00:14,472.99,1.73,2,-18.722792,-9.214184
23,seq_0021,2022-07-31 11:01:13,473.01,1.79,2,-18.382929,-8.314179
24,seq_0022,2022-07-31 11:02:13,473.02,1.86,2,-17.791437,-8.844853
25,seq_0023,2022-07-31 11:03:14,473.09,1.93,2,-18.78846,-10.051402
26,seq_0024,2022-07-31 11:04:13,473.25,1.99,2,-16.639296,-9.383213
27,seq_0025,2022-07-31 11:05:13,473.18,2.05,2,-18.109055,-8.239022
28,seq_0026,2022-07-31 11:06:13,473.28,2.12,2,-19.040482,-10.353749
29,seq_0027,2022-07-31 11:07:13,473.21,2.18,2,-18.849083,-11.954122
30,seq_0028,2022-07-31 11:08:13,473.22,2.25,2,-17.596724,-13.235047
31,seq_0029,2022-07-31 11:09:13,473.19,2.31,2,-17.62849,-13.936052
32,seq_0030,2022-07-31 11:10:13,473.18,2.38,2,-17.79345,-14.17983
33,seq_0031,2022-07-31 11:11:13,473.35,2.44,2,-18.23497,-14.961098
34,seq_0032,2022-07-31 11:12:13,473.21,2.51,2,-15.486057,-18.24041
35,seq_0033,2022-07-31 11:13:13,473.28,2.58,2,-17.487206,-20.162872
36,seq_0034,2022-07-31 11:14:13,473.31,2.64,2,-17.161978,-21.705769
37,seq_0035,2022-07-31 11:15:13,473.26,2.71,2,-16.734762,-25.397263
38,seq_0036,2022-07-31 11:16:13,473.23,2.77,2,-16.2167,-29.201412
39,seq_0037,2022-07-31 11:17:13,473.28,2.84,2,-13.729264,-29.886055
40,seq_0038,2022-07-31 11:18:13,473.31,2.9,2,-15.342297,-32.355858
41,seq_0039,2022-07-31 11:19:13,473.19,2.97,2,-15.748124,-31.285603
42,seq_0040,2022-07-31 11:20:14,473.31,3.03,2,-19.055597,-27.89097
43,seq_0041,2022-07-31 11:21:13,473.34,3.1,2,-20.484556,-28.151997
44,seq_0042,2022-07-31 11:22:13,473.31,3.16,2,-22.076752,-25.846518
45,seq_0043,2022-07-31 11:23:13,473.17,3.23,2,-22.801947,-25.62596
46,seq_0044,2022-07-31 11:24:13,473.19,3.29,2,-25.317493,-24.016157
47,seq_0045,2022-07-31 11:25:13,473.27,3.36,2,-25.864012,-23.820091
